text,label
Your prescription is ready for pickup at the pharmacy. Store hours: 9 AM - 9 PM.,0
"Hi, just following up on our conversation from last week. Do you have time for a call tomorrow?",0
Security Alert: Someone tried to sign in to your account. Verify your identity: http://login-bankofamerica.xyz/auth,1
"Welcome to our newsletter! Here are this week's top articles on cybersecurity trends. Best regards, Management.",0
PAYPAL: WE NOTICED IRREGULAR ACTIVITY. CONFIRM YOUR IDENTITY TO AVOID SUSPENSION: HTTP://MICR0SOFT-365.COM/RENEW Act now! Limited time!,1
"HI, I AM A PRINCE FROM NIGERIA AND I NEED YOUR HELP TRANSFERRING $5,000,000. REPLY WITH YOUR BANK DETAILS. Act now! Limited time!",1
Meeting rescheduled to Thursday at 2 PM. Updated calendar invite sent.,0
FREE IPHONE 15 GIVEAWAY! YOU ARE ONE OF 10 LUCKY WINNERS. CLAIM YOURS: HTTP://BIT.LY/3XFKZ9Q,1
"FYI - Meeting rescheduled to Thursday at 2 PM. Updated calendar invite sent. Best regards, Management.",0
You have (1) unread message from a friend. View it here: http://192.168.1.100/verify,1
"IMPORTANT: IRS REFUND OF $3,247.00 IS PENDING. SUBMIT YOUR SSN AND BANK INFO AT HTTP://SECURE-VERIFY-ACCOUNT.COM/LOGIN",1
FYI - Meeting rescheduled to Thursday at 2 PM. Updated calendar invite sent.,0
"Dear valued customer, please verify your social security number for tax purposes at http://192.168.1.100/verify Act now! Limited time!",1
FINAL NOTICE: YOUR ACCOUNT WILL BE PERMANENTLY DELETED IN 48 HOURS. VERIFY NOW: HTTP://SECURE-VERIFY-ACCOUNT.COM/LOGIN,1
YOU HAVE (1) UNREAD MESSAGE FROM A FRIEND. VIEW IT HERE: HTTP://MICR0SOFT-365.COM/RENEW,1
"YOUR PAYMENT OF $499.99 HAS BEEN PROCESSED. IF YOU DID NOT AUTHORIZE THIS, CLICK HTTP://192.168.1.100/VERIFY Act now! Limited time!",1
FYI - Here is the updated project timeline. Key milestones are highlighted in yellow.,0
Thank you for attending the webinar. Recording and slides are available at the link below.,0
FYI - The board meeting minutes from Tuesday have been uploaded to the shared drive.,0
Happy birthday from the team! Hope you have a great day.,0
You have (1) unread message from a friend. View it here: http://192.168.1.100/verify,1
"Your Apple ID has been locked. To unlock, verify your information at http://micr0soft-365.com/renew Act now! Limited time!",1
"Hi, just following up on our conversation from last week. Do you have time for a call tomorrow?",0
Expense report approved. Reimbursement of $342.17 will appear in your next paycheck.,0
"Dear Customer, We detected unusual activity on your account. Please confirm your credentials at http://micr0soft-365.com/renew",1
IT Maintenance Notice: Systems will be down Saturday 2-6 AM for scheduled updates.,0
"Your payment of $499.99 has been processed. If you did not authorize this, click http://micr0soft-365.com/renew",1
FYI - Your monthly bank statement for October is now available in your online banking portal.,0
"Hi, just following up on our conversation from last week. Do you have time for a call tomorrow?",0
Your Amazon order #938-284719 cannot be delivered. Update shipping info: http://bit.ly/3xFkZ9q Act now! Limited time!,1
Here is the updated project timeline. Key milestones are highlighted in yellow.,0
Congratulations! You've been selected for an exclusive offer. Act now before it expires: http://192.168.1.100/verify,1
Your monthly bank statement for October is now available in your online banking portal.,0
YOUR AMAZON ORDER #938-284719 CANNOT BE DELIVERED. UPDATE SHIPPING INFO: HTTP://AMAZ0N-SECURITY.NET/CONFIRM,1
"Meeting rescheduled to Thursday at 2 PM. Updated calendar invite sent. Best regards, Management.",0
YOU HAVE (1) UNREAD MESSAGE FROM A FRIEND. VIEW IT HERE: HTTP://PAYPA1-SECURE.COM/UPDATE,1
"DEAR USER, YOUR NETFLIX SUBSCRIPTION WILL BE CANCELLED UNLESS YOU UPDATE PAYMENT AT HTTP://LOGIN-BANKOFAMERICA.XYZ/AUTH",1
Meeting rescheduled to Thursday at 2 PM. Updated calendar invite sent.,0
Microsoft Office 365: Your license key is expired. Renew immediately at http://bit.ly/3xFkZ9q,1
"Your payment of $499.99 has been processed. If you did not authorize this, click http://secure-verify-account.com/login",1
FYI - IT Maintenance Notice: Systems will be down Saturday 2-6 AM for scheduled updates.,0
"Dear user, your Netflix subscription will be cancelled unless you update payment at http://192.168.1.100/verify",1
"YOU HAVE WON A $1,000 GIFT CARD! CLAIM YOUR PRIZE NOW BY VISITING HTTP://PAYPA1-SECURE.COM/UPDATE Act now! Limited time!",1
